Tagged
"ababach<Aq-s>, , ababaiche<Apc>, , , , ababach<Aq-p>, , ababaich<Aq-smg>, , ababaiche<Aq-sfg>, , ababaich<Aq-sfd>, , , "
"abaich<Aq-s>, abuich<Aq-s>, abaidh<Aq-s>, , abaiche<Apc>, abuiche<Apc>, abaidhe<Apc>, , , , abaich<Aq-p>, abuich<Aq-p>, abaidh<Aq-p>, , abaich<Aq-smg>, abuich<Aq-smg>, abaidh<Aq-smg>, , abaiche<Aq-sfg>, abuiche<Aq-sfg>, abaidhe<Aq-sfg>, , abaich<Aq-sfd>, abuich<Aq-sfd>, abaidh<Aq-sfd>, , , "
"abairteach<Aq-s>, , abairtiche<Apc>, , , , abairteach<Aq-p>, , abairtich<Aq-smg>, , abairtiche<Aq-sfg>, , abairtich<Aq-sfd>, , , "
"abalta<Aq-s>, abulta<Aq-s>, , abalta<Apc>, abulta<Apc>, , , , abalta<Aq-p>, abulta<Aq-p>, , abalta<Aq-smg>, abulta<Aq-smg>, , abalta<Aq-sfg>, abulta<Aq-sfg>, , abalta<Aq-sfd>, abulta<Aq-sfd>, , , "
"abarach<Aq-s>, , abaraiche<Apc>, , , , abarach<Aq-p>, , abaraich<Aq-smg>, , abaraiche<Aq-sfg>, , abaraich<Aq-sfd>, , , "
"abartach<Aq-s>, , abartaiche<Apc>, , , , abartach<Aq-p>, , abartaich<Aq-smg>, , abartaiche<Aq-sfg>, , abartaich<Aq-sfd>, , , "
"abdomanach<Aq-s>, , abdomanaiche<Apc>, , , , abdomanach<Aq-p>, , abdomanaich<Aq-smg>, , abdomanaiche<Aq-sfg>, , abdomanaich<Aq-sfd>, , , "
"abductach<Aq-s>, , abductaiche<Apc>, , , , abductach<Aq-p>, , abductaich<Aq-smg>, , abductaiche<Aq-sfg>, , abductaich<Aq-sfd>, , , "
"àbhach<Aq-s>, , àbhaiche<Apc>, , , , àbhach<Aq-p>, , àbhaich<Aq-smg>, , àbhaiche<Aq-sfg>, , àbhaich<Aq-sfd>, , , "
"àbhachdach<Aq-s>, , àbhachdaiche<Apc>, , , , àbhachdach<Aq-p>, , àbhachdaich<Aq-smg>, , àbhachdaiche<Aq-sfg>, , àbhachdaich<Aq-sfd>, , , "
"àbhachdail<Aq-s>, , àbhachdaile<Apc>, , , , àbhachdail<Aq-p>, , àbhachdail<Aq-smg>, , àbhachdaile<Aq-sfg>, , àbhachdail<Aq-sfd>, , , "
"abhagach<Aq-s>, , abhagaiche<Apc>, , , , abhagach<Aq-p>, , abhagaich<Aq-smg>, , abhagaiche<Aq-sfg>, , abhagaich<Aq-sfd>, , , "
"abhainneach<Aq-s>, , abhainniche<Apc>, , , , abhainneach<Aq-p>, , abhainnich<Aq-smg>, , abhainniche<Aq-sfg>, , abhainnich<Aq-sfd>, , , "
"àbhaisteach<Aq-s>, , àbhaistiche<Apc>, , , , àbhaisteach<Aq-p>, , àbhaistich<Aq-smg>, , àbhaistiche<Aq-sfg>, , àbhaistich<Aq-sfd>, , , "
"abhcaideach<Aq-s>, , abhcaidiche<Apc>, , , , abhcaideach<Aq-p>, , abhcaidich<Aq-smg>, , abhcaidiche<Aq-sfg>, , abhcaidich<Aq-sfd>, , , "
"abhsanta<Aq-s>, , abhsanta<Apc>, , , , abhsanta<Aq-p>, , abhsanta<Aq-smg>, , abhsanta<Aq-sfg>, , abhsanta<Aq-sfd>, , , "
"ablach<Aq-s>, , ablaiche<Apc>, , , , ablach<Aq-p>, , ablaich<Aq-smg>, , ablaiche<Aq-sfg>, , ablaich<Aq-sfd>, , , "
"absaloideach<Aq-s>, absalaideach<Aq-s>, , absaloidiche<Apc>, absalaidiche<Apc>, , , , absaloideach<Aq-p>, absalaideach<Aq-p>, , absaloidich<Aq-smg>, absalaidich<Aq-smg>, , absaloidiche<Aq-sfg>, absalaidiche<Aq-sfg>, , absaloidich<Aq-sfd>, absalaidich<Aq-sfd>, , , "
"abstolach<Aq-s>, , abstolaiche<Apc>, , , , abstolach<Aq-p>, , abstolaich<Aq-smg>, , abstolaiche<Aq-sfg>, , abstolaich<Aq-sfd>, , , "
"acadaimeagach<Aq-s>, acadaimigeach<Aq-s>, , acadaimeagaiche<Apc>, acadaimigiche<Apc>, , , , acadaimeagach<Aq-p>, acadaimigeach<Aq-p>, , acadaimeagaich<Aq-smg>, acadaimigich<Aq-smg>, , acadaimeagaiche<Aq-sfg>, acadaimigiche<Aq-sfg>, , acadaimeagaich<Aq-sfd>, acadaimigich<Aq-sfd>, , , "
"acadamhail<Aq-s>, , acadamhaile<Apc>, , , , acadamhail<Aq-p>, , acadamhail<Aq-smg>, , acadamhaile<Aq-sfg>, , acadamhail<Aq-sfd>, , , "
"acainneach<Aq-s>, acfhainneach<Aq-s>, acuinneach<Aq-s>, acfhuinneach<Aq-s>, , acainniche<Apc>, acfhainniche<Apc>, acuinniche<Apc>, acfhuinniche<Apc>, , , , acainneach<Aq-p>, acfhainneach<Aq-p>, acuinneach<Aq-p>, acfhuinneach<Aq-p>, , acainnich<Aq-smg>, acfhainnich<Aq-smg>, acuinnich<Aq-smg>, acfhuinnich<Aq-smg>, , acainniche<Aq-sfg>, acfhainniche<Aq-sfg>, acuinniche<Aq-sfg>, acfhuinniche<Aq-sfg>, , acainnich<Aq-sfd>, acfhainnich<Aq-sfd>, acuinnich<Aq-sfd>, acfhuinnich<Aq-sfd>, , , "
"acarach<Aq-s>, , acaraiche<Apc>, , , , acarach<Aq-p>, , acaraich<Aq-smg>, , acaraiche<Aq-sfg>, , acaraich<Aq-sfd>, , , "
