before,after,resolved,notes
o 'nuair,on uair,,
bho 'nuair,bhon uair,,
o nuair,on uair,,
bho nuair,bhon uair,,
dè 'nuair,dè an uair,,
dè nuair,dè an uair,,
an 'nuair,an uair,,
nuair sin,an uair sin,,
nuair sin,an uair sin,,
nuair seo,an uair seo,,
nuair seo,an uair seo,,
nuair siud,an uair siud,,
nuair siud,an uair siud,,
'sas bith,sas bith,,
'sam bith,sam bith,,
'na ur,nur,,
'na ar,nar,,
go robh,gun robh,,
go bheil,gu bheil,,
an dè,an-dè,,
an dé,an-dè,,
an diugh,an-diugh,,
an diu,an-diugh,,
dhu'-sa,dhutsa,,
lea'-sa,leatsa,,
aga'-sa,agadsa,,
or'-sa,ortsa,,
thuga'-sa,thugadsa,,
uga'-sa,thugadsa,,
bhua'-sa,bhuatsa,,
ua'-sa,uatsa,,
fodha'-sa,fodhadsa,,
dhìo'-sa,dhìotsa,,
uma'-sa,umadsa,,
anna'-sa,annadsa,,
riu'-sa,riutsa,,
tromha'-sa,tromhadsa,,
asa'-sa,asadsa,,
a' toir,a' toirt,,
gam thoir,gam thoirt,,
gad thoir,gad thoirt,,
ga toir,ga toirt,,
ga thoir,ga thoirt,,
gar toir,gar toirt,,
gur toir,gur toirt,,
gan toir,gan toirt,,
gam chuir,gam chur,,
gad chuir,gad chur,,
ga chuir,ga chur,,
gar cuir,gar cur,,
gur cuir,guir cur,,
gan cuir,gan cur,,
air a chuir,air a chur,,
nach de,nach do,,
p-fhèin,pèin,,
p-fhéin,pèin,,
p-fèin,pèin,,
p-féin,pèin,,
umaib-fhèin,agaibh pèin,,
asaib-fhèin,asaibh pèin,,
annaib-fhèin,annaibh pèin,,
tromhaib-fhèin,tromhaibh pèin,,
thromhaib-fhèin,thromhaibh pèin,,
romhaib-fhèin,romhaibh pèin,,
dhib-fhèin,dhibh pèin,,
rib-fhèin,ribh pèin,,
ruib-fhèin,ribh pèin,,
leib-fhèin,leibh pèin,,
fodhaib-fhèin,fodhaibh pèin,,
uaib-fhèin,uaibh pèin,,
bhuaib-fhèin,bhuaibh pèin,,
ugaib-fhèin,ugaibh pèin,,
thugaib-fhèin,thugaibh pèin,,
oirb-fhèin,oirbh pèin,,
agaib-fhèin,agaibh pèin,,
dhuib-fhèin,dhuibh pèin,,
umaib'-fhèin,agaibh pèin,,
asnaib'-fhèin,asaibh pèin,,
annaib'-fhèin,annaibh pèin,,
tromhaib'-fhèin,tromhaibh pèin,,
thromhaib'-fhèin,thromhaibh pèin,,
romhaib'-fhèin,romhaibh pèin,,
dhib'-fhèin,dhibh pèin,,
rib'-fhèin,ribh pèin,,
ruib'-fhèin,ribh pèin,,
leib'-fhèin,leibh pèin,,
fodhaib'-fhèin,fodhaibh pèin,,
uaib'-fhèin,uaibh pèin,,
bhuaib'-fhèin,bhuaibh pèin,,
ugaib'-fhèin,ugaibh pèin,,
thugaib'-fhèin,thugaibh pèin,,
oirb'-fhèin,oirbh pèin,,
agaib'-fhèin,agaibh pèin,,
dhuib'-fhèin,dhuibh pèin,,
umaib' fhèin,agaibh pèin,,
asnaib' fhèin,asaibh pèin,,
annaib' fhèin,annaibh pèin,,
tromhaib' fhèin,tromhaibh pèin,,
thromhaib' fhèin,thromhaibh pèin,,
romhaib' fhèin,romhaibh pèin,,
dhib' fhèin,dhibh pèin,,
rib' fhèin,ribh pèin,,
ruib' fhèin,ribh pèin,,
leib' fhèin,leibh pèin,,
fodhaib' fhèin,fodhaibh pèin,,
uai' fhèin,uaibh pèin,,
bhuai' fhèin,bhuaibh pèin,,
ugaib' fhèin,ugaibh pèin,,
thugaib' fhèin,thugaibh pèin,,
oirb' fhèin,oirbh pèin,,
agaib' fhèin,agaibh pèin,,
dhuib' fhèin,dhuibh pèin,,
sann,'s ann,,
'sann,'s ann,,
'se,'s e,,
se,'s e,,
b'e,b' e,,
si,'s i,,
'si,'s i,,
siad,'s iad,,
'siad,'s iad,,
cha bhith,cha bhi,,
mo dha,mo dhà,,
do dha,do dhà,,
gu de,gu dè,,
'gam,gam,,
'gad,gad,,
'ga,ga,,
'gar,gar,,
'gur,gur,,
'gan,gan,,
a nisd,a-nist,,
a nisde,a-niste,,
an drasta,an-dràsta,,
an dràst,an-dràsta,,
an dràsd,an-dràsta,,
an drast,an-dràsta,,
an dràst',an-dràsta,,"Nor removing the apostrophe, check regex rules"
an dràsd',an-dràsta,,
an drast',an-dràsta,,
a bhàn,a-bhàn,,
làrna mhàireach,làrna-mhàireach,,
bho'n-dé,bhòn-dè,,
'gham,gham,,
'ghad,ghad,,
'gha,gha,,
'ghar,ghar,,
'ghur,ghur,,
'ghan,ghan,,
am màireach,a-màireach,,
