TAG,PART OF SPEECH
Ap,"Adjective,predicative"
Apc,"Adjective,predicative,comparativeorsuperlative"
Aps,"Adjective,predicative,secondcomparative"
Aq,"Adjective,qualificator(attributive)"
Aq>dfd,"Adjective,qualificator,dual,feminine,dative"
Aq>dfn,"Adjective,qualificator,dual,feminine,nominative"
Aq>p,"Adjective,qualificator,plural"
Aq>pfd,"Adjective,qualificator,plural,feminine,dative"
Aq>pfg,"Adjective,qualificator,plural,feminine,genitive"
Aq>pfn,"Adjective,qualificator,plural,feminine,nominative"
Aq>pfv,"Adjective,qualificator,plural,feminine,vocative"
Aq>pmd,"Adjective,qualificator,plural,masculine,dative"
Aq>pmg,"Adjective,qualificator,plural,masculine,genitive"
Aq>pmn,"Adjective,qualificator,plural,masculine,nominative"
Aq>pmv,"Adjective,qualificator,plural,masculine,vocative"
Aq>s,"Adjective,qualificator,singular"
Aq>sfd,"Adjective,qualificator,singular,feminine,dative"
Aq>sfg,"Adjective,qualificator,singular,feminine,genitive"
Aq>sfn,"Adjective,qualificator,singular,feminine,nominative"
Aq>sfv,"Adjective,qualificator,singular,feminine,vocative"
Aq>smd,"Adjective,qualificator,singular,masculine,dative"
Aq>smg,"Adjective,qualificator,singular,masculine,genitive"
Aq>smn,"Adjective,qualificator,singular,masculine,nominative"
Aq>smv,"Adjective,qualificator,singular,masculine,vocative"
Ar,"Adjective,preposed"
Av,"Adjective,verbal"
Cc,"Conjunction,coordinate"
Cs,"Conjunction,subordinate"
Cs+Qq,"FusedForm:subordinatingconjunctionfusedwithinterrogative
verbalparticle"
Csw,"Conjunction,subordinatewithcopula"
Dd,"Determiner,demonstrative"
Dp1p,"Determiner,possessive,firstpersonplural"
Dp2p,"Determiner,possessive,secondpersonplural"
Dp3p,"Determiner,possessive,thirdpersonplural"
Dp1s,"Determiner,possessive,firstpersonsingular"
Dp2s,"Determiner,possessive,secondpersonsingular"
Dp3sf,"Determiner,possessive,thirdpersonsingular,feminine"
Dp3sm,"Determiner,possessive,thirdpersonsingular,masculine"
Dq,"Determiner,quantifier"
Fb,"Punctuation,hyphen/underscore/dash/ellipsis/parentheses"
Fe,"Punctuation,sentencefinal(fullstop)"
Fg,"Punctuation,questionmark"
Fi,"Punctuation,sentenceinternal(comma,colon,semi>colon)"
Fq,"Punctuation,quote(openingquotationmark)"
Fu,"Punctuation,exclamationmark"
Fz,"Punctuation,quote(closingquotationmark)"
I,Interjection
Mc,"Numeral,cardinal"
Mn,"Numeral,symbolic"
Mo,"Numeral,ordinal"
Mr,"Numeral,roman"
Ms,"Numeral,operator"
Ncdfd,"Noun,common,dual,feminine,dative"
Ncdfde,"Noun,common,dual,feminine,dative,emphatic"
Ncdfn,"Noun,common,dual,feminine,nominative"
Ncdfne,"Noun,common,plural,feminine,nominative,emphatic"
Ncpfd,"Noun,common,plural,feminine,dative"
Ncpfde,"Noun,common,plural,feminine,dative,emphatic"
Ncpfg,"Noun,common,plural,feminine,genitive"
Ncpfge,"Noun,common,plural,feminine,genitive,emphatic"
Ncpfn,"Noun,common,plural,feminine,nominative"
Ncpfne,"Noun,common,plural,feminine,nominative,emphatic"
Ncpfv,"Noun,common,plural,feminine,vocative"
Ncpmd,"Noun,common,plural,masculine,dative"
Ncpmde,"Noun,common,plural,masculine,dative,emphatic"
Ncpmg,"Noun,common,plural,masculine,genitive"
Ncpmge,"Noun,common,plural,masculine,genitive,emphatic"
Ncpmn,"Noun,common,plural,masculine,nominative"
Ncpmne,"Noun,common,plural,masculine,nominative,emphatic"
Ncpmv,"Noun,common,plural,masculine,vocative"
Ncsfd,"Noun,common,singular,feminine,dative"
Ncsfde,"Noun,common,singular,feminine,dative,emphatic"
Ncsfg,"Noun,common,singular,feminine,genitive"
Ncsfge,"Noun,common,singular,feminine,genitive,emphatic"
Ncsfn,"Noun,common,singular,feminine,nominative"
Ncsfn+Pr1s,"Fused Form: singular feminine noun fused with first person
singularprepositionalpronoun"
Ncsfne,"Noun,common,singular,feminine,nominative,emphatic"
Ncsfv,"Noun,common,singular,feminine,vocative"
Ncsmd,"Noun,common,singular,masculine,dative"
Ncsmde,"Noun,common,singular,masculine,dative,emphatic"
Ncsmg,"Noun,common,singular,masculine,genitive"
