Tagged
"abaicheam<Vm-1s>, abaich<Vm-2s>, abaicheadh<Vm-3>, abaicheamaid<Vm-1p>, abaichibh<Vm-2p>, abaicheadh<Vm-3>, abachadh<Nv>, , , , , , , , , , , , , , , , abaichidh<V-f>, dh'abaicheas<V-f--r--l>, abaich<V-f--d>, abaich<V-f--d--l>, dh'abaich<V-s--l>, do dh'abaich<V-s--d--l>, abaichte<Av>, abaichte<Av--l>, dh'abaichinn<V-h1s--l>, dh'abaicheadh<V-h--l>, dh'abaicheamaid<V-h1p--l>, abaichinn<V-h1sd>, abaichinn<V-h1sd--l>, abaicheadh<V-h--d>, abaicheadh<V-h--d--l>, abaicheamaid<V-h1pd>, abaicheamaid<V-h1pd--l>, abaichear<Vm-h0>, abaichtear<Vm-h0>, abaichear<V-f0>, dh'abaichear<V-f0--r--l>, abaichear<V-f0-d>, abaichear<V-f0-d--l>, dh'abaicheadh<V-s0--l>, do dh'abaicheadh<V-s0-d--l>, dh'abaichte<V-h0--l>, dh'abaichiste<V-h0--l>, dh'abaichist<V-h0--l>, abaichte<V-h0-d>, abaichiste<V-h0-d>, abaichist<V-h0-d>, abaichte<V-h0-d--l>, abaichiste<V-h0-d--l>, abaichist<V-h0-d--l>, , "
"abram<Vm-1s>, abair<Vm-2s>, their<Vm-2s>, feir<Vm-2s>, theirig<Vm-2s>, abradh<Vm-3>, abramaid<Vm-1p>, abraibh<Vm-2p>, theiribh<Vm-2p>, feiribh<Vm-2p>, abaireadh<Vm-3>, ràdh<Nv>, , ràitinn<Nv>, , ràdha<Nv>, , ràdhainn<Nv>, , ràidhtinn<Nv>, ràdhtainn<Nv>, , gràdh<Nv>, gràdha<Nv>, ghràdh<Nv--l>, ghràdha<Nv--l>, gràdhainn<Nv>, ghràdhainn<Nv--l>, ràit<Nv>, , their<V-f--l>, abraidh<V-f--l>, their<V-f--r--l>, abair<V-f--d>, abair<V-f--d--l>, thuirt<V-s--l>, thubhairt<V-s--l>, duirt<V-s--d--l>, tuirt<V-s--d--l>, dubhairt<V-s--d--l>, tubhairt<V-s--d--l>, d'thuirt<V-s--d--l>, d'thubhairt<V-s--d--l>, , , theirinn<V-h1s--l>, feirinn<V-h1s>, theireadh<V-h--l>, feireadh<V-h>, feirteadh<V-h>, theireamaid<V-h1p--l>, feireamaid<V-h1p>, abrainn<V-h1sd>, abrainn<V-h1sd--l>, abradh<V-h--d>, abairteadh<V-h--d>, abradh<V-h--d--l>, abramaid<V-h1pd>, abramaid<V-h1pd--l>, abrar<Vm-h0>, , theirear<V-f0>, feirear<V-f0>, theirear<V-f0--r--l>, abrar<V-f0-d>, abrar<V-f0-d--l>, thuirteadh<V-s0--l>, thubhairteadh<V-s0--l>, duirteadh<V-s0-d>, dubhairteach<V-s0-d>, tuirteadh<V-s0-d>, tubhairteach<V-s0-d>, theirte<V-h0--l>, feirte<V-h0--l>, theiriste<V-h0--l>, theirist<V-h0--l>, dh'abairte<V-h0--l>, abairte<V-h0-d>, abairiste<V-h0-d>, abairist<V-h0-d>, abairte<V-h0-d--l>, abairiste<V-h0-d--l>, abairist<V-h0-d--l>, , "
"àbhaisticheam<Vm-1s>, àbhaistich<Vm-2s>, àbhaisticheadh<Vm-3>, àbhaisticheamaid<Vm-1p>, àbhaistichibh<Vm-2p>, àbhaisticheadh<Vm-3>, àbhaisteachadh<Nv>, , , , , , , , , , , , , , , , àbhaistichidh<V-f>, dh'àbhaisticheas<V-f--r--l>, àbhaistich<V-f--d>, àbhaistich<V-f--d--l>, dh'àbhaistich<V-s--l>, do dh'àbhaistich<V-s--d--l>, àbhaistichte<Av>, àbhaistichte<Av--l>, dh'àbhaistichinn<V-h1s--l>, dh'àbhaisticheadh<V-h--l>, dh'àbhaisticheamaid<V-h1p--l>, àbhaistichinn<V-h1sd>, àbhaistichinn<V-h1sd--l>, àbhaisticheadh<V-h--d>, àbhaisticheadh<V-h--d--l>, àbhaisticheamaid<V-h1pd>, àbhaisticheamaid<V-h1pd--l>, àbhaistichear<Vm-h0>, àbhaistichtear<Vm-h0>, àbhaistichear<V-f0>, dh'àbhaistichear<V-f0--r--l>, àbhaistichear<V-f0-d>, àbhaistichear<V-f0-d--l>, dh'àbhaisticheadh<V-s0--l>, do dh'àbhaisticheadh<V-s0-d--l>, dh'àbhaistichte<V-h0--l>, dh'àbhaistichiste<V-h0--l>, dh'àbhaistichist<V-h0--l>, àbhaistichte<V-h0-d>, àbhaistichiste<V-h0-d>, àbhaistichist<V-h0-d>, àbhaistichte<V-h0-d--l>, àbhaistichiste<V-h0-d--l>, àbhaistichist<V-h0-d--l>, , "
"achdaicheam<Vm-1s>, achdaich<Vm-2s>, achdaicheadh<Vm-3>, achdaicheamaid<Vm-1p>, achdaichibh<Vm-2p>, achdaicheadh<Vm-3>, achdachadh<Nv>, , , , , , , , , , , , , , , , achdaichidh<V-f>, dh'achdaicheas<V-f--r--l>, achdaich<V-f--d>, achdaich<V-f--d--l>, dh'achdaich<V-s--l>, do dh'achdaich<V-s--d--l>, achdaichte<Av>, achdaichte<Av--l>, dh'achdaichinn<V-h1s--l>, dh'achdaicheadh<V-h--l>, dh'achdaicheamaid<V-h1p--l>, achdaichinn<V-h1sd>, achdaichinn<V-h1sd--l>, achdaicheadh<V-h--d>, achdaicheadh<V-h--d--l>, achdaicheamaid<V-h1pd>, achdaicheamaid<V-h1pd--l>, achdaichear<Vm-h0>, achdaichtear<Vm-h0>, achdaichear<V-f0>, dh'achdaichear<V-f0--r--l>, achdaichear<V-f0-d>, achdaichear<V-f0-d--l>, dh'achdaicheadh<V-s0--l>, do dh'achdaicheadh<V-s0-d--l>, dh'achdaichte<V-h0--l>, dh'achdaichiste<V-h0--l>, dh'achdaichist<V-h0--l>, achdaichte<V-h0-d>, achdaichiste<V-h0-d>, achdaichist<V-h0-d>, achdaichte<V-h0-d--l>, achdaichiste<V-h0-d--l>, achdaichist<V-h0-d--l>, , "
"acraicheam<Vm-1s>, acraich<Vm-2s>, acraicheadh<Vm-3>, acraicheamaid<Vm-1p>, acraichibh<Vm-2p>, acraicheadh<Vm-3>, acrachadh<Nv>, , , , , , , , , , , , , , , , acraichidh<V-f>, dh'acraicheas<V-f--r--l>, acraich<V-f--d>, acraich<V-f--d--l>, dh'acraich<V-s--l>, do dh'acraich<V-s--d--l>, acraichte<Av>, acraichte<Av--l>, dh'acraichinn<V-h1s--l>, dh'acraicheadh<V-h--l>, dh'acraicheamaid<V-h1p--l>, acraichinn<V-h1sd>, acraichinn<V-h1sd--l>, acraicheadh<V-h--d>, acraicheadh<V-h--d--l>, acraicheamaid<V-h1pd>, acraicheamaid<V-h1pd--l>, acraichear<Vm-h0>, acraichtear<Vm-h0>, acraichear<V-f0>, dh'acraichear<V-f0--r--l>, acraichear<V-f0-d>, acraichear<V-f0-d--l>, dh'acraicheadh<V-s0--l>, do dh'acraicheadh<V-s0-d--l>, dh'acraichte<V-h0--l>, dh'acraichiste<V-h0--l>, dh'acraichist<V-h0--l>, acraichte<V-h0-d>, acraichiste<V-h0-d>, acraichist<V-h0-d>, acraichte<V-h0-d--l>, acraichiste<V-h0-d--l>, acraichist<V-h0-d--l>, , "
"adagaicheam<Vm-1s>, adagaich<Vm-2s>, adagaicheadh<Vm-3>, adagaicheamaid<Vm-1p>, adagaichibh<Vm-2p>, adagaicheadh<Vm-3>, adagachadh<Nv>, , , , , , , , , , , , , , , , adagaichidh<V-f>, dh'adagaicheas<V-f--r--l>, adagaich<V-f--d>, adagaich<V-f--d--l>, dh'adagaich<V-s--l>, do dh'adagaich<V-s--d--l>, adagaichte<Av>, adagaichte<Av--l>, dh'adagaichinn<V-h1s--l>, dh'adagaicheadh<V-h--l>, dh'adagaicheamaid<V-h1p--l>, adagaichinn<V-h1sd>, adagaichinn<V-h1sd--l>, adagaicheadh<V-h--d>, adagaicheadh<V-h--d--l>, adagaicheamaid<V-h1pd>, adagaicheamaid<V-h1pd--l>, adagaichear<Vm-h0>, adagaichtear<Vm-h0>, adagaichear<V-f0>, dh'adagaichear<V-f0--r--l>, adagaichear<V-f0-d>, adagaichear<V-f0-d--l>, dh'adagaicheadh<V-s0--l>, do dh'adagaicheadh<V-s0-d--l>, dh'adagaichte<V-h0--l>, dh'adagaichiste<V-h0--l>, dh'adagaichist<V-h0--l>, adagaichte<V-h0-d>, adagaichiste<V-h0-d>, adagaichist<V-h0-d>, adagaichte<V-h0-d--l>, adagaichiste<V-h0-d--l>, adagaichist<V-h0-d--l>, , "
"adharaicheam<Vm-1s>, adharaich<Vm-2s>, adharaicheadh<Vm-3>, adharaicheamaid<Vm-1p>, adharaichibh<Vm-2p>, adharaicheadh<Vm-3>, adharachadh<Nv>, , , , , , , , , , , , , , , , adharaichidh<V-f>, dh'adharaicheas<V-f--r--l>, adharaich<V-f--d>, adharaich<V-f--d--l>, dh'adharaich<V-s--l>, do dh'adharaich<V-s--d--l>, adharaichte<Av>, adharaichte<Av--l>, dh'adharaichinn<V-h1s--l>, dh'adharaicheadh<V-h--l>, dh'adharaicheamaid<V-h1p--l>, adharaichinn<V-h1sd>, adharaichinn<V-h1sd--l>, adharaicheadh<V-h--d>, adharaicheadh<V-h--d--l>, adharaicheamaid<V-h1pd>, adharaicheamaid<V-h1pd--l>, adharaichear<Vm-h0>, adharaichtear<Vm-h0>, adharaichear<V-f0>, dh'adharaichear<V-f0--r--l>, adharaichear<V-f0-d>, adharaichear<V-f0-d--l>, dh'adharaicheadh<V-s0--l>, do dh'adharaicheadh<V-s0-d--l>, dh'adharaichte<V-h0--l>, dh'adharaichiste<V-h0--l>, dh'adharaichist<V-h0--l>, adharaichte<V-h0-d>, adharaichiste<V-h0-d>, adharaichist<V-h0-d>, adharaichte<V-h0-d--l>, adharaichiste<V-h0-d--l>, adharaichist<V-h0-d--l>, , "
"adhartaicheam<Vm-1s>, adhartaich<Vm-2s>, adhartaicheadh<Vm-3>, adhartaicheamaid<Vm-1p>, adhartaichibh<Vm-2p>, adhartaicheadh<Vm-3>, adhartachadh<Nv>, , , , , , , , , , , , , , , , adhartaichidh<V-f>, dh'adhartaicheas<V-f--r--l>, adhartaich<V-f--d>, adhartaich<V-f--d--l>, dh'adhartaich<V-s--l>, do dh'adhartaich<V-s--d--l>, adhartaichte<Av>, adhartaichte<Av--l>, dh'adhartaichinn<V-h1s--l>, dh'adhartaicheadh<V-h--l>, dh'adhartaicheamaid<V-h1p--l>, adhartaichinn<V-h1sd>, adhartaichinn<V-h1sd--l>, adhartaicheadh<V-h--d>, adhartaicheadh<V-h--d--l>, adhartaicheamaid<V-h1pd>, adhartaicheamaid<V-h1pd--l>, adhartaichear<Vm-h0>, adhartaichtear<Vm-h0>, adhartaichear<V-f0>, dh'adhartaichear<V-f0--r--l>, adhartaichear<V-f0-d>, adhartaichear<V-f0-d--l>, dh'adhartaicheadh<V-s0--l>, do dh'adhartaicheadh<V-s0-d--l>, dh'adhartaichte<V-h0--l>, dh'adhartaichiste<V-h0--l>, dh'adhartaichist<V-h0--l>, adhartaichte<V-h0-d>, adhartaichiste<V-h0-d>, adhartaichist<V-h0-d>, adhartaichte<V-h0-d--l>, adhartaichiste<V-h0-d--l>, adhartaichist<V-h0-d--l>, , "
"adhbharaicheam<Vm-1s>, adhbhraicheam<Vm-1s>, aobharaicheam<Vm-1s>, adhbharaich<Vm-2s>, adhbhraich<Vm-2s>, aobharaich<Vm-2s>, adhbharaicheadh<Vm-3>, adhbhraicheadh<Vm-3>, aobharaicheadh<Vm-3>, adhbharaicheamaid<Vm-1p>, adhbhraicheamaid<Vm-1p>, aobharaicheamaid<Vm-1p>, adhbharaichibh<Vm-2p>, adhbhraichibh<Vm-2p>, aobharaichibh<Vm-2p>, adhbharaicheadh<Vm-3>, adhbhraicheadh<Vm-3>, aobharaicheadh<Vm-3>, adhbharachadh<Nv>, adhbhrachadh<Nv>, aobharachadh<Nv>, aobhrachadh<Nv>, , adhbharachdainn<Nv>, , , , , , , , , , , , , , adhbharaichidh<V-f>, adhbhraichidh<V-f>, aobharaichidh<V-f>, dh'adhbharaicheas<V-f--r--l>, dh'adhbhraicheas<V-f--r--l>, dh'aobharaicheas<V-f--r--l>, adhbharaich<V-f--d>, adhbhraich<V-f--d>, aobharaich<V-f--d>, adhbharaich<V-f--d--l>, adhbhraich<V-f--d--l>, aobharaich<V-f--d--l>, dh'adhbharaich<V-s--l>, dh'adhbhraich<V-s--l>, dh'aobharaich<V-s--l>, do dh'adhbharaich<V-s--d--l>, do dh'adhbhraich<V-s--d--l>, do dh'aobharaich<V-s--d--l>, adhbharaichte<Av>, aobharaichte<Av>, adhbhraichte<Av>, adhbharaichte<Av--l>, adhbhraichte<Av--l>, aobharaichte<Av--l>, dh'adhbharaichinn<V-h1s--l>, dh'adhbhraichinn<V-h1s--l>, dh'aobharaichinn<V-h1s--l>, dh'adhbharaicheadh<V-h--l>, dh'adhbhraicheadh<V-h--l>, dh'aobharaicheadh<V-h--l>, dh'adhbharaicheamaid<V-h1p--l>, dh'adhbhraicheamaid<V-h1p--l>, dh'aobharaicheamaid<V-h1p--l>, adhbharaichinn<V-h1sd>, adhbhraichinn<V-h1sd>, aobharaichinn<V-h1sd>, adhbharaichinn<V-h1sd--l>, adhbhraichinn<V-h1sd--l>, aobharaichinn<V-h1sd--l>, adhbharaicheadh<V-h--d>, adhbhraicheadh<V-h--d>, aobharaicheadh<V-h--d>, adhbharaicheadh<V-h--d--l>, adhbhraicheadh<V-h--d--l>, aobharaicheadh<V-h--d--l>, adhbharaicheamaid<V-h1pd>, adhbhraicheamaid<V-h1pd>, aobharaicheamaid<V-h1pd>, adhbharaicheamaid<V-h1pd--l>, adhbhraicheamaid<V-h1pd--l>, aobharaicheamaid<V-h1pd--l>, adhbharaichear<Vm-h0>, adhbhraichear<Vm-h0>, aobharaichear<Vm-h0>, adhbharaichtear<Vm-h0>, adhbhraichtear<Vm-h0>, aobharaichtear<Vm-h0>, adhbharaichear<V-f0>, adhbhraichear<V-f0>, aobharaichear<V-f0>, dh'adhbharaichear<V-f0--r--l>, dh'adhbhraichear<V-f0--r--l>, dh'aobharaichear<V-f0--r--l>, adhbharaichear<V-f0-d>, adhbhraichear<V-f0-d>, aobharaichear<V-f0-d>, adhbharaichear<V-f0-d>, adhbhraichear<V-f0-d>, aobharaichear<V-f0-d>, dh'adhbharaicheadh<V-s0--l>, dh'adhbhraicheadh<V-s0--l>, dh'aobharaicheadh<V-s0--l>, do dh'adhbharaicheadh<V-s0-d--l>, do dh'adhbhraicheadh<V-s0-d--l>, do dh'aobharaicheadh<V-s0-d--l>, dh'adhbharaichte<V-h0--l>, dh'adhbhraichte<V-h0--l>, dh'aobharaichte<V-h0--l>, dh'adhbharaichiste<V-h0--l>, dh'adhbhraichiste<V-h0--l>, dh'aobharaichiste<V-h0--l>, dh'adhbharaichist<V-h0--l>, dh'adhbhraichist<V-h0--l>, dh'aobharaichist<V-h0--l>, adhbharaichte<V-h0-d>, adhbhraichte<V-h0-d>, aobharaichte<V-h0-d>, adhbharaichiste<V-h0-d>, adhbhraichiste<V-h0-d>, aobharaichiste<V-h0-d>, adhbharaichist<V-h0-d>, adhbhraichist<V-h0-d>, aobharaichist<V-h0-d>, adhbharaichte<V-h0-d--l>, adhbhraichte<V-h0-d--l>, aobharaichte<V-h0-d--l>, adhbharaichiste<V-h0-d--l>, adhbhraichiste<V-h0-d--l>, aobharaichiste<V-h0-d--l>, adhbharaichist<V-h0-d--l>, adhbhraichist<V-h0-d--l>, aobharaichist<V-h0-d--l>, , "
"adhlaiceam<Vm-1s>, adhlaic<Vm-2s>, adhlaiceadh<Vm-3>, adhlaiceamaid<Vm-1p>, adhlaicibh<Vm-2p>, adhlaiceadh<Vm-3>, adhlacadh<Nv>, , adhlaiceadh<Nv>, , adhlac<Nv>, , , , , , , , , , , , adhlaicidh<V-f>, dh'adhlaiceas<V-f--r--l>, adhlaic<V-f--d>, adhlaic<V-f--d--l>, dh'adhlaic<V-s--l>, do dh'adhlaic<V-s--d--l>, adhlaicte<Av>, adhlaicte<Av--l>, dh'adhlaicinn<V-h1s--l>, dh'adhlaiceadh<V-h--l>, dh'adhlaiceamaid<V-h1p--l>, adhlaicinn<V-h1sd>, adhlaicinn<V-h1sd--l>, adhlaiceadh<V-h--d>, adhlaiceadh<V-h--d--l>, adhlaiceamaid<V-h1pd>, adhlaiceamaid<V-h1pd--l>, adhlaicear<Vm-h0>, adhlaictear<Vm-h0>, adhlaicear<V-f0>, dh'adhlaicear<V-f0--r--l>, adhlaicear<V-f0-d>, adhlaicear<V-f0-d--l>, dh'adhlaiceadh<V-s0--l>, do dh'adhlaiceadh<V-s0-d--l>, dh'adhlaicte<V-h0--l>, dh'adhlaiciste<V-h0--l>, dh'adhlaicist<V-h0--l>, adhlaicte<V-h0-d>, adhlaiciste<V-h0-d>, adhlaicist<V-h0-d>, adhlaicte<V-h0-d--l>, adhlaiciste<V-h0-d--l>, adhlaicist<V-h0-d--l>, , "
"adhlaicheam<Vm-1s>, adhlaich<Vm-2s>, adhlaicheadh<Vm-3>, adhlaicheamaid<Vm-1p>, adhlaichibh<Vm-2p>, adhlaicheadh<Vm-3>, adhlachadh<Nv>, , , , , , , , , , , , , , , , adhlaichidh<V-f>, dh'adhlaicheas<V-f--r--l>, adhlaich<V-f--d>, adhlaich<V-f--d--l>, dh'adhlaich<V-s--l>, do dh'adhlaich<V-s--d--l>, adhlaichte<Av>, adhlaichte<Av--l>, dh'adhlaichinn<V-h1s--l>, dh'adhlaicheadh<V-h--l>, dh'adhlaicheamaid<V-h1p--l>, adhlaichinn<V-h1sd>, adhlaichinn<V-h1sd--l>, adhlaicheadh<V-h--d>, adhlaicheadh<V-h--d--l>, adhlaicheamaid<V-h1pd>, adhlaicheamaid<V-h1pd--l>, adhlaichear<Vm-h0>, adhlaichtear<Vm-h0>, adhlaichear<V-f0>, dh'adhlaichear<V-f0--r--l>, adhlaichear<V-f0-d>, adhlaichear<V-f0-d--l>, dh'adhlaicheadh<V-s0--l>, do dh'adhlaicheadh<V-s0-d--l>, dh'adhlaichte<V-h0--l>, dh'adhlaichiste<V-h0--l>, dh'adhlaichist<V-h0--l>, adhlaichte<V-h0-d>, adhlaichiste<V-h0-d>, adhlaichist<V-h0-d>, adhlaichte<V-h0-d--l>, adhlaichiste<V-h0-d--l>, adhlaichist<V-h0-d--l>, , "
